i,e,y,u,
0,0.000,2.050,175.000,
1,22.950,2.422,188.770,
2,22.578,2.547,179.367,
3,22.453,2.552,181.736,
4,22.448,2.559,184.041,
5,22.441,2.727,186.283,
6,22.273,2.622,188.431,
7,22.378,2.687,190.805,
8,22.313,2.809,192.951,
9,22.191,2.697,195.142,
10,22.303,2.819,197.489,
11,22.181,2.883,199.590,
12,22.117,2.783,201.831,
13,22.217,2.945,204.134,
14,22.055,2.952,206.209,
15,22.048,2.879,208.491,
16,22.121,3.061,210.743,
17,21.939,3.020,212.809,
18,21.980,2.983,215.119,
19,22.017,3.167,217.319,
20,21.833,3.091,219.392,
21,21.909,3.094,221.713,
22,21.906,3.263,223.864,
23,21.737,3.165,225.954,
24,21.835,3.207,228.271,
25,21.793,3.352,230.381,
26,21.648,3.243,232.494,
27,21.757,3.321,234.797,
28,21.679,3.437,236.871,
29,21.563,3.325,239.008,
30,21.675,3.434,241.290,
31,21.566,3.520,243.336,
32,21.480,3.411,245.495,
33,21.589,3.543,247.752,
34,21.457,3.602,249.777,
35,21.398,3.499,251.954,
36,21.501,3.649,254.184,
37,21.351,3.683,256.193,
38,21.317,3.589,258.382,
39,21.411,3.751,260.588,
40,21.249,3.766,262.585,
41,21.234,3.680,264.781,
42,21.320,3.850,266.964,
43,21.150,3.850,268.951,
44,21.150,3.771,271.151,
45,21.229,3.946,273.314,
46,21.054,3.936,275.292,
47,21.064,3.862,277.491,
48,21.138,4.039,279.637,
49,20.961,4.023,281.607,
50,20.977,3.953,283.802,
51,21.047,4.131,285.933,
52,20.869,4.112,287.896,
53,20.888,4.042,290.083,
54,20.958,4.220,292.205,
55,20.780,4.202,294.159,
56,20.798,4.131,296.336,
57,20.869,4.308,298.450,
58,20.692,4.295,300.395,
59,20.705,4.219,302.561,
60,20.781,4.393,304.670,
61,20.607,4.389,306.606,
62,20.611,4.307,308.756,
63,20.693,4.476,310.864,
64,20.524,4.484,312.791,
65,20.516,4.395,314.923,
66,20.605,4.556,317.033,
67,20.444,4.581,318.952,
68,20.419,4.483,321.062,
69,20.517,4.633,323.175,
70,20.367,4.678,325.088,
71,20.322,4.573,327.172,
72,20.427,4.706,329.290,
73,20.294,4.776,331.201,
74,20.224,4.666,333.254,
75,20.334,4.776,335.378,
76,20.224,4.873,337.290,
77,20.127,4.762,339.309,
78,20.238,4.842,341.437,
79,20.158,4.968,343.357,
80,20.032,4.862,345.338,
81,20.138,4.907,347.468,
82,20.093,5.059,349.401,
83,19.941,4.965,351.342,
84,20.035,4.972,353.468,
85,20.028,5.143,355.421,
86,19.857,5.073,357.324,
87,19.927,5.041,359.438,
88,19.959,5.220,361.415,
89,19.780,5.183,363.287,
90,19.817,5.115,365.377,
91,19.885,5.287,367.381,
92,19.713,5.294,369.232,
93,19.706,5.199,371.285,
94,19.801,5.345,373.316,
95,19.655,5.403,375.161,
96,19.597,5.293,377.165,
97,19.707,5.394,379.220,
98,19.606,5.505,381.074,
99,19.495,5.398,383.019,
100,19.602,5.442,385.088,
101,19.558,5.596,386.969,
102,19.404,5.512,388.854,
103,19.488,5.495,390.922,
104,19.505,5.672,392.839,
105,19.328,5.631,394.675,
106,19.369,5.561,396.720,
107,19.439,5.729,398.679,
108,19.271,5.750,400.487,
109,19.250,5.647,402.485,
110,19.353,5.771,404.483,
111,19.229,5.862,406.292,
112,19.138,5.752,408.223,
113,19.248,5.806,410.248,
114,19.194,5.956,412.085,
115,19.044,5.872,413.942,
116,19.128,5.850,415.971,
117,19.150,6.026,417.855,
118,18.974,5.999,419.654,
119,19.001,5.916,421.656,
120,19.084,6.070,423.592,
121,18.930,6.121,425.366,
122,18.879,6.011,427.306,
123,18.989,6.097,429.285,
124,18.903,6.226,431.077,
125,18.774,6.131,432.933,
126,18.869,6.128,434.933,
127,18.872,6.301,436.774,
128,18.699,6.263,438.555,
129,18.737,6.185,440.535,
130,18.815,6.341,442.436,
131,18.659,6.391,444.185,
132,18.609,6.280,446.099,
133,18.720,6.360,448.051,
134,18.640,6.495,449.820,
135,18.505,6.407,451.643,
136,18.593,6.386,453.614,
137,18.614,6.560,455.442,
138,18.440,6.545,457.188,
139,18.455,6.451,459.128,
140,18.549,6.585,461.023,
141,18.415,6.670,462.750,
142,18.330,6.562,464.608,
143,18.438,6.596,466.548,
144,18.404,6.758,468.318,
145,18.242,6.702,470.078,
146,18.298,6.634,472.016,
147,18.366,6.795,473.859,
148,18.205,6.839,475.565,
149,18.161,6.729,477.439,
150,18.271,6.799,479.344,
151,18.201,6.943,481.074,
152,18.057,6.867,482.843,
153,18.133,6.821,484.766,
154,18.179,6.989,486.569,
155,18.011,7.012,488.263,
156,17.988,6.903,490.134,
157,18.097,6.991,492.010,
158,18.009,7.124,493.712,
159,17.876,7.041,495.477,
160,17.959,7.003,497.381,
161,17.997,7.172,499.158,
162,17.828,7.190,500.838,
163,17.810,7.082,502.694,
164,17.918,7.169,504.549,
165,17.831,7.303,506.235,
166,17.697,7.223,507.981,
167,17.777,7.178,509.866,
168,17.822,7.345,511.630,
169,17.655,7.375,513.290,
170,17.625,7.265,515.121,
171,17.735,7.334,516.964,
